Elapsed time,192.168.46.15 Network I/O unit=kb:bytessent
10:36:50.0,0.0
10:36:51.0,0.244
10:36:52.0,0.251
10:36:53.0,75.603
10:36:54.0,0.74
10:36:55.0,0.802
10:36:56.0,0.25
10:36:57.0,0.232
10:36:58.0,0.528
10:36:59.0,0.311
10:37:00.0,0.252
10:37:01.0,0.252
10:37:02.0,0.252
10:37:03.0,0.25
10:37:04.0,0.251
10:37:05.0,0.25
10:37:06.0,0.252
10:37:07.0,0.252
10:37:08.0,0.251
10:37:09.0,5.885
10:37:10.0,1185.211
10:37:11.0,4404.986
10:37:12.0,6237.206
10:37:13.0,7328.994
10:37:14.0,7968.165
10:37:15.0,8349.168
10:37:16.0,8194.071
10:37:17.0,7443.205
10:37:18.0,7405.868
10:37:19.0,8314.577
10:37:20.0,7963.224
10:37:21.0,7946.27
10:37:22.0,7768.446
10:37:23.0,8258.555
10:37:24.0,7636.41
10:37:25.0,7934.933
10:37:26.0,7470.81
10:37:27.0,7581.298
10:37:28.0,7405.436
10:37:29.0,7438.933
10:37:30.0,8206.325
10:37:31.0,7743.499
10:37:32.0,8153.965
10:37:33.0,7123.652
10:37:34.0,6473.928
10:37:35.0,6391.636
10:37:36.0,4141.135
10:37:37.0,3294.442
10:37:38.0,3956.407
10:37:39.0,3484.522
10:37:40.0,4080.261
10:37:41.0,4021.359
10:37:42.0,4117.38
10:37:43.0,2945.559
10:37:44.0,4016.132
10:37:45.0,4593.595
10:37:46.0,6765.626
10:37:47.0,6295.078
10:37:48.0,5258.066
10:37:49.0,6278.572
10:37:50.0,7151.756
10:37:51.0,7158.383
10:37:52.0,5347.424
10:37:53.0,5862.618
10:37:54.0,6761.802
10:37:55.0,5977.836
10:37:56.0,5839.138
10:37:57.0,7108.217
10:37:58.0,3725.652
10:37:59.0,7965.729
10:38:00.0,6771.814
10:38:01.0,4101.034
10:38:02.0,6908.391
10:38:03.0,5343.714
10:38:04.0,4624.548
10:38:05.0,5792.125
10:38:06.0,6043.214
10:38:07.0,4638.215
10:38:08.0,6596.634
10:38:09.0,4417.884
10:38:10.0,6193.781
10:38:11.0,5707.405
10:38:12.0,4921.3
10:38:13.0,7113.604
10:38:14.0,3806.714
10:38:15.0,6743.794
10:38:16.0,6032.513
10:38:17.0,5804.53
10:38:18.0,5550.53
10:38:19.0,5280.679
10:38:20.0,6556.644
10:38:21.0,2764.966
10:38:22.0,4987.878
10:38:23.0,2640.855
10:38:24.0,5.94
10:38:25.0,0.253
10:38:26.0,45.531
10:38:27.0,1671.219
10:38:28.0,3975.813
10:38:29.0,6247.981
10:38:30.0,8009.381
10:38:31.0,5698.75
10:38:32.0,6142.735
10:38:33.0,3484.487
10:38:34.0,6929.95
10:38:35.0,7626.503
10:38:36.0,3208.356
10:38:37.0,7096.648
10:38:38.0,6360.534
10:38:39.0,2683.969
10:38:40.0,6699.549
10:38:41.0,5185.407
10:38:42.0,5436.333
10:38:43.0,5376.31
10:38:44.0,4969.462
10:38:45.0,5429.989
10:38:46.0,5938.404
10:38:47.0,5286.969
10:38:48.0,5103.498
10:38:49.0,6768.732
10:38:50.0,4031.464
10:38:51.0,6843.225
10:38:52.0,5730.652
10:38:53.0,5373.43
10:38:54.0,6664.035
10:38:55.0,3526.591
10:38:56.0,7267.601
10:38:57.0,6897.52
10:38:58.0,5687.424
10:38:59.0,7412.209
10:39:00.0,1653.66
10:39:01.0,7306.657
10:39:02.0,7749.596
10:39:03.0,4751.726
10:39:04.0,4516.166
10:39:05.0,7028.837
10:39:06.0,3829.069
10:39:07.0,4604.184
10:39:08.0,4633.324
10:39:09.0,1000.142
10:39:10.0,0.318
10:39:11.0,891.278
10:39:12.0,0.306
10:39:13.0,3489.291
10:39:14.0,5373.91
10:39:15.0,5012.666
10:39:16.0,6786.036
10:39:17.0,7196.103
10:39:18.0,2213.039
10:39:19.0,7035.685
10:39:20.0,6657.62
10:39:21.0,2642.914
10:39:22.0,7146.526
10:39:23.0,7181.606
10:39:24.0,5343.78
10:39:25.0,4256.379
10:39:26.0,6762.371
10:39:27.0,5453.839
10:39:28.0,5902.054
10:39:29.0,7590.835
10:39:30.0,4972.518
10:39:31.0,7317.923
10:39:32.0,5770.963
10:39:33.0,5811.096
10:39:34.0,7438.875
10:39:35.0,5507.88
10:39:36.0,5444.835
10:39:37.0,6378.824
10:39:38.0,3313.267
10:39:39.0,7023.698
10:39:40.0,6467.361
10:39:41.0,4828.911
10:39:42.0,6423.137
10:39:43.0,4944.193
10:39:44.0,4800.402
10:39:45.0,6968.135
10:39:46.0,5634.672
10:39:47.0,5224.187
10:39:48.0,6428.262
10:39:49.0,3942.179
10:39:50.0,5673.774
10:39:51.0,6883.614
10:39:52.0,3129.333
10:39:53.0,5826.209
10:39:54.0,0.882
10:39:55.0,0.25
10:39:56.0,0.245
10:39:57.0,0.239
10:39:58.0,0.24
10:39:59.0,0.308
10:40:00.0,0.251
10:40:01.0,0.237
10:40:02.0,0.253
10:40:03.0,0.252
10:40:04.0,0.254
10:40:05.0,0.254
10:40:06.0,0.253
10:40:07.0,0.25
10:40:08.0,0.25
10:40:09.0,0.244
10:40:10.0,0.25
10:40:11.0,0.245
