Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
09:29:30.0,0.0,0.0,0.0
09:29:31.0,1.529,1.244,1.247
09:29:32.0,1.552,6.691,5.264
09:29:33.0,6.906,1.261,1.268
09:29:34.0,72.314,1.638,1.28
09:29:35.0,1.531,1.666,1.63
09:29:36.0,1.609,1.231,0.98
09:29:37.0,1.547,6.892,6.736
09:29:38.0,5.551,1.517,1.368
09:29:39.0,1.196,0.934,1.55
09:29:40.0,0.985,1.291,1.36
09:29:41.0,1.576,1.541,0.922
09:29:42.0,1.25,6.263,6.606
09:29:43.0,6.821,1.219,1.365
09:29:44.0,1.52,0.947,1.552
09:29:45.0,1.534,1.364,1.253
09:29:46.0,1.217,0.939,1.546
09:29:47.0,1.217,5.156,5.927
09:29:48.0,5.238,1.183,2.026
09:29:49.0,1.268,0.933,1.277
09:29:50.0,1.486,1.215,1.554
09:29:51.0,269.131,1.868,21.898
09:29:52.0,1266.183,781.401,1153.602
09:29:53.0,1717.045,1599.881,2091.719
09:29:54.0,2188.359,3092.574,1836.659
09:29:55.0,2742.541,2923.436,2398.033
09:29:56.0,2721.436,2999.023,2314.196
09:29:57.0,2489.387,3408.655,2675.805
09:29:58.0,2522.768,3035.124,2724.241
09:29:59.0,2778.762,3751.132,3217.962
09:30:00.0,2636.666,3367.043,2650.138
09:30:01.0,2678.343,3503.617,2628.737
09:30:02.0,2931.697,3854.345,2951.87
09:30:03.0,2573.428,3364.102,2740.626
09:30:04.0,3033.274,3756.644,2929.787
09:30:05.0,2978.581,3369.912,3263.575
09:30:06.0,2677.674,3765.426,2720.133
09:30:07.0,2636.519,3855.405,2408.621
09:30:08.0,2930.068,3942.874,2771.591
09:30:09.0,3278.091,3489.862,2701.609
09:30:10.0,2889.271,4167.305,2791.682
09:30:11.0,3065.943,4260.478,2782.744
09:30:12.0,3429.938,3975.448,2605.412
09:30:13.0,2996.703,3536.104,2408.46
09:30:14.0,3598.746,3474.133,2637.628
09:30:15.0,3191.956,3561.74,2948.223
09:30:16.0,3641.01,3481.219,2688.761
09:30:17.0,3993.765,4564.886,2518.312
09:30:18.0,3991.691,4343.703,2963.041
09:30:19.0,3668.503,4226.636,3082.168
09:30:20.0,3405.092,4370.587,2543.904
09:30:21.0,2949.325,3991.214,3050.701
09:30:22.0,3160.205,4699.533,3332.885
09:30:23.0,3839.03,4875.772,3086.147
09:30:24.0,3668.531,4804.646,3001.856
09:30:25.0,2775.505,5051.081,3405.625
09:30:26.0,3416.77,4810.057,3245.554
09:30:27.0,3460.91,4707.356,3420.268
09:30:28.0,3578.36,4345.75,3088.397
09:30:29.0,3816.124,4898.428,2846.351
09:30:30.0,3656.172,4653.476,2432.916
09:30:31.0,3587.215,4551.03,3492.339
09:30:32.0,3911.59,5239.85,3111.541
09:30:33.0,3568.84,4886.916,3204.977
09:30:34.0,3494.844,5479.489,3199.158
09:30:35.0,2522.703,5537.951,2915.028
09:30:36.0,3187.006,4746.718,3200.783
09:30:37.0,3187.573,6079.577,3134.568
09:30:38.0,3301.811,4728.33,3326.685
09:30:39.0,3030.846,4842.244,3197.471
09:30:40.0,2975.855,5338.685,2954.102
09:30:41.0,3445.14,5827.428,3196.625
09:30:42.0,2771.684,4850.691,3183.813
09:30:43.0,3424.132,5215.551,3086.817
09:30:44.0,3178.875,4868.211,3445.861
09:30:45.0,3107.157,4546.93,3076.366
09:30:46.0,3401.163,5011.547,2914.125
09:30:47.0,2631.557,4789.42,3438.37
09:30:48.0,2995.262,5844.929,3458.647
09:30:49.0,2593.863,4863.06,3453.81
09:30:50.0,3178.501,4991.739,3066.819
09:30:51.0,2836.701,5146.795,3172.651
09:30:52.0,2921.511,5237.386,3215.24
09:30:53.0,3336.722,5321.668,2599.998
09:30:54.0,2824.665,3620.817,3551.886
09:30:55.0,3558.725,3199.417,3141.368
09:30:56.0,3570.658,3796.54,3588.837
09:30:57.0,3304.63,2679.618,1674.525
09:30:58.0,3606.06,3417.15,1954.571
09:30:59.0,3376.093,3818.016,3051.109
09:31:00.0,3832.016,2166.84,1541.697
09:31:01.0,3268.083,3376.745,2088.165
09:31:02.0,1790.894,4704.961,1802.67
09:31:03.0,2723.128,3655.597,1871.794
09:31:04.0,3197.412,4293.123,1962.637
09:31:05.0,1855.959,4353.91,2216.55
09:31:06.0,2816.139,4593.828,2125.458
09:31:07.0,3208.622,5328.02,2865.091
09:31:08.0,1986.913,4133.111,2148.244
09:31:09.0,1755.053,5365.256,2497.759
09:31:10.0,3001.354,5002.255,3355.37
09:31:11.0,2226.886,3407.614,1830.542
09:31:12.0,1501.595,5805.427,2931.845
09:31:13.0,1759.378,5143.544,3314.167
09:31:14.0,2329.177,5422.456,3402.774
09:31:15.0,1920.551,4521.684,2504.284
09:31:16.0,2794.958,4942.359,2724.747
09:31:17.0,3129.606,5134.869,3084.498
09:31:18.0,1883.74,3889.789,2436.028
09:31:19.0,3182.982,5187.564,2805.01
09:31:20.0,2405.391,4697.127,2787.666
09:31:21.0,3410.673,4198.509,1656.686
09:31:22.0,3124.172,4777.926,3145.494
09:31:23.0,3678.412,4612.988,3609.85
09:31:24.0,2182.273,5013.445,3330.395
09:31:25.0,2714.735,1890.788,1774.03
09:31:26.0,3657.845,5062.424,3391.691
09:31:27.0,3166.296,4220.372,3508.351
09:31:28.0,2573.769,3910.534,2133.228
09:31:29.0,3235.955,5124.042,3122.376
09:31:30.0,1760.914,4727.192,2738.477
09:31:31.0,3534.817,3086.232,2137.586
09:31:32.0,2922.681,5535.66,3406.118
09:31:33.0,2099.342,4709.695,2325.494
09:31:34.0,2267.0,4417.51,2328.453
09:31:35.0,2876.887,5045.324,2702.242
09:31:36.0,2192.341,4440.232,2272.859
09:31:37.0,3333.308,5466.297,1889.733
09:31:38.0,3130.667,4811.31,2296.789
09:31:39.0,1617.612,4920.88,1909.099
09:31:40.0,2622.758,5698.048,1958.559
09:31:41.0,2332.042,4694.468,2922.546
09:31:42.0,1749.701,4072.313,1838.353
09:31:43.0,3308.406,5186.448,2719.731
09:31:44.0,1805.851,4000.483,2626.644
09:31:45.0,2683.075,5269.505,2753.833
09:31:46.0,2162.132,5131.393,3264.893
09:31:47.0,2783.27,3625.206,1850.745
09:31:48.0,3189.665,4807.932,3393.666
09:31:49.0,2888.792,5014.329,2789.383
09:31:50.0,2761.83,5125.069,3092.091
09:31:51.0,1356.858,3057.933,1849.488
09:31:52.0,2512.831,5324.641,2990.707
09:31:53.0,2717.801,5655.673,2894.834
09:31:54.0,2066.425,4926.162,2967.528
09:31:55.0,2937.135,5117.652,3093.168
09:31:56.0,2356.599,5207.556,2528.406
09:31:57.0,3047.508,3086.503,1991.167
09:31:58.0,3108.241,4933.932,3510.457
09:31:59.0,3152.243,5101.221,3115.271
09:32:00.0,3339.543,4689.532,3020.599
09:32:01.0,1818.856,3087.589,2643.433
09:32:02.0,3249.823,5181.216,3498.856
09:32:03.0,3268.584,4646.272,3329.847
09:32:04.0,1797.528,3980.516,2668.534
09:32:05.0,2653.421,4433.757,3250.071
09:32:06.0,2250.562,5600.813,3145.874
09:32:07.0,2090.403,5922.097,1561.298
09:32:08.0,3233.337,5675.237,3145.606
09:32:09.0,2133.868,4140.829,2955.79
09:32:10.0,2397.156,5645.56,2317.64
09:32:11.0,2497.666,4943.833,2894.324
09:32:12.0,1230.175,5674.471,1732.982
09:32:13.0,2898.758,4654.94,2994.081
09:32:14.0,1949.604,4538.391,2213.757
09:32:15.0,1957.702,5032.867,2518.094
09:32:16.0,2756.187,4997.023,3174.208
09:32:17.0,1928.698,3152.444,1821.007
09:32:18.0,2752.962,5351.744,2795.349
09:32:19.0,3285.976,4879.148,2826.199
09:32:20.0,2280.617,5211.788,2467.851
09:32:21.0,2839.848,5080.62,3098.808
09:32:22.0,1745.468,4348.665,2236.922
09:32:23.0,3452.502,3285.967,3248.508
09:32:24.0,3235.955,4736.87,2962.173
09:32:25.0,2651.656,4901.998,2110.313
09:32:26.0,2724.775,5197.423,3224.736
09:32:27.0,1529.822,4076.804,1806.487
09:32:28.0,2237.595,5348.917,3395.243
09:32:29.0,2752.746,5398.657,3016.167
09:32:30.0,1984.084,5234.628,2735.768
09:32:31.0,2578.594,5808.954,3066.796
09:32:32.0,2140.8,4756.88,2460.779
09:32:33.0,3970.303,3713.836,1979.135
09:32:34.0,2855.219,3.027,1416.228
09:32:35.0,0.992,1.108,407.689
09:32:36.0,0.782,0.813,0.833
09:32:37.0,188.911,4.649,5.023
09:32:38.0,15.926,644.113,240.353
09:32:39.0,1.616,1.013,1.295
09:32:40.0,1.658,1.267,1.027
09:32:41.0,0.971,1.289,1.269
09:32:42.0,1.559,6.326,6.98
09:32:43.0,5.551,1.757,2.002
09:32:44.0,1.019,1.934,1.252
09:32:45.0,1.541,1.596,1.672
09:32:46.0,1.249,1.616,1.585
09:32:47.0,1.269,5.929,6.544
09:32:48.0,6.902,1.255,0.978
